,serial_num,range_T,range_B,range_L,range_R,angle_BL,angle_TR
0,20UPGM22601039,42.00621196257763,42.0042771380487,40.085554828890665,40.07720166185509,90.01504068817832,90.00641439031526
1,20UPGM22601074,42.02320722344976,42.01537668098431,40.10003456385668,40.122025067567314,89.98934308632852,90.0305065212049
2,20UPGM22601073,42.00171241961451,41.995894301973145,40.08052509352267,40.05181898790615,90.01910962669588,89.98827027282098
3,20UPGM22601052,41.99602720761215,41.996020019431604,40.086483227454615,40.08898321914638,90.01531704961648,90.01873703342278
4,20UPGM22601016,42.00429998657875,42.012066321742616,40.08556146906265,40.10257585554824,90.00146771766573,90.01357381467145
5,20UPGM22601026,,42.00104492881695,,40.09729908167133,,
6,20UPGM22601065,42.01739394122987,42.00957712831683,40.0805548357305,40.08889268329197,90.01501501307467,90.03754847035015
7,20UPGM22601042,42.010498882303224,42.0046318536718,40.08137736268553,40.08383903049332,90.01265131548035,90.02439173729613
8,20UPGM22601020,42.01799701253024,42.031605447240544,40.07191149000132,40.08893769040282,90.02796787415397,90.03172451110579
9,20UPGM22601047,42.00175725267337,41.9959063560069,40.08832508864021,40.088868970357595,90.02976377216812,90.0388627744306
10,20UPGM22601024,42.004421789735424,42.0122773248785,40.09348821208376,40.07736295647457,90.03262285839202,89.99941058650496
11,20UPGM22601051,42.00374814183254,41.99791905368645,40.09228768307566,40.08307589245117,90.01659551615519,90.0123617855279
12,20UPGM22601049,42.018258770592816,42.06911799515174,40.10054282453668,40.07798915296276,90.1195907908326,90.01628745485337
13,20UPGM22601050,41.995898007692375,42.003694293746356,40.086375089860645,40.08888457346999,90.01910352871718,90.01138587519691
14,20UPGM22601025,42.02572238430293,42.012119013446586,40.091483210839186,40.069450401927156,89.98867896773874,89.97807818667151
15,20UPGM22601023,41.98668301074758,42.031509226680164,40.07185,40.09667508341558,90.03796407993809,90.00775913833479
16,20UPGM22601027,42.00629193897624,41.98487006458398,40.0856383052584,40.075287720270964,90.01257002225796,90.02906615430595
17,20UPGM22601029,42.00309520038375,42.00502483447665,40.08165438065151,40.08416915469872,90.02871704726032,90.02938856537357
18,20UPGM22601022,41.995857146538874,42.01731512379748,40.10780075845595,40.096652323417224,90.05975581508883,90.01392078213401
19,20UPGM22601021,42.006190735086896,42.004236204965096,40.07968458140608,40.08303206457815,89.99996159561356,90.00732111772784
20,20UPGM22601037,42.00616158687318,41.99836352064804,40.0855137072297,40.08300801614694,89.99859225225187,90.00632033406258
21,20UPGM22601064,42.00961117973482,42.003755517155845,40.08060478551315,40.08309182984765,89.99741160489118,90.00917368198773
22,20UPGM22601046,42.10117696508021,42.107229426786084,40.27550925239804,40.08886370608427,90.15030232850495,89.88777414877133
23,20UPGM22601072,42.00952957690077,41.976359238802495,40.080518974309705,40.10250042668787,89.98226279029376,90.05963113301866
24,20UPGM22601062,42.009567306626714,42.00368620543916,40.074668977079526,40.094713704084484,90.01946892773339,90.05519170667044
25,20UPGM22110427,41.99836308292265,42.00421512851419,40.08550232406349,40.08300474328241,90.02911784846319,90.01735065547803
26,20UPGM22601035,42.00950089054261,42.00365344017709,40.080502324353425,40.08885474259025,89.99632378192473,90.01607225099802
27,20UPGM22601054,41.99782304882004,42.0036592327978,40.080502324353425,40.09665474166767,90.01847633728084,90.03216290924719
28,20UPGM22601061,42.03490720752218,42.009520498334666,40.08051214355925,40.10835042662563,90.01199992630441,90.08617085309704
29,20UPGM22601036,42.01536732012467,42.00367668841622,40.0922250861997,40.08301370808462,90.00049340334911,90.0046390968748
30,20UPGM22601038,42.00623368793018,42.006238752654355,40.085564931437595,40.08306493548741,90.01465326469311,90.01123688287987
31,20UPGM22601044,42.00617394318364,42.006178930158605,40.09915801291843,40.09470801380776,90.03102304267284,90.02494929471291
32,20UPGM22601045,42.0173819780576,41.99788877030011,40.09227587503609,40.088892683291974,90.00633370752257,90.02957130599412
33,20UPGM22601015,41.99256198271904,42.00622713446782,40.09138205789992,40.08305165431519,90.03734380993843,90.00645980637577
34,20UPGM22601030,41.998445790439675,42.00621633097892,40.079701658632644,40.09476491653867,90.00983008203309,90.01926898196128
35,20UPGM22601041,42.01202606682996,42.01205318622859,40.097208013308105,40.077158017317046,90.05494648383251,90.02758431127835
36,20UPGM22601071,41.984217347266345,41.9959063560069,40.08831897061786,40.09473205522142,90.03812481374284,90.03017451370256
37,20UPGM22601070,42.003679581020045,41.99001057442115,40.074668977079526,40.09470801380776,89.98490308786363,90.03177326048444
38,20UPGM22601031,42.00033060084171,41.99837050377669,40.08552731959503,40.09472508463551,89.98972284498689,90.0050725331296
39,20UPGM22101021,42.01205231466323,41.99252050663309,40.07188458813735,40.096663703418024,89.98134347571691,90.04305016115465
40,20UPGM22601034,42.009518900750344,42.00367993813161,40.080527323003125,40.09083457178835,89.9984934808843,90.02089424950059
41,20UPGM22601053,41.99588956963527,42.01538368101022,40.072718978002975,40.077192695752785,90.01678608074431,89.99501929106499
42,20UPGM22601067,42.00954799209342,42.009520498334666,40.06881897985015,40.090818969434885,90.00083341853197,90.03086926166566
43,20UPGM22601069,42.00961117973482,42.00373875793677,40.08645477022132,40.09674179858633,89.98679105352731,90.00921543350611
44,20UPGM22601063,42.00955724204315,41.995912926289634,40.086392685953925,40.08302509195757,90.01557145219792,90.03047492729033
45,20UPGM22601048,42.0095605063895,41.995903206681966,40.086414930060776,40.09084268121587,89.98808018664113,90.01363908333242
46,20UPGM22601055,41.99011123136613,42.0173927817993,40.0805426921842,40.08894181644734,90.0367810623718,90.00925279476098
47,20UPGM22601066,,,,,,
48,20UPGM22601068,42.02129810084405,41.99788877030011,40.07280039353377,40.07720484031415,89.98955092687677,90.02902048193964
