,tags,detect_x,detect_y
0,FmarkTL,-18.8755,19.841500000000003
1,FmarkBL,-18.817,-18.7117
2,FmarkBR,18.7635,-18.660999999999998
3,FmarkTR,18.705000000000002,19.9078
4,AsicFmarkTL,-21.095000000000002,20.5465
5,AsicFmarkBL,-21.024800000000003,-19.52535
6,AsicFmarkBR,21.006700000000002,-19.4312
7,AsicFmarkTR,20.92285,20.65765
0,FmarkTL,-18.8248,19.9585
1,FmarkBL,-18.8053,-18.608349999999998
2,FmarkBR,18.7752,-18.58885
3,FmarkTR,18.744000000000003,19.991650000000003
4,AsicFmarkTL,-21.036500000000004,20.6635
5,AsicFmarkBL,-20.9858,-19.42785
6,AsicFmarkBR,21.02035,-19.347350000000002
7,AsicFmarkTR,20.956,20.73565
0,FmarkTL,-18.8053,19.93315
1,FmarkBL,-18.7975,-18.62785
2,FmarkBR,18.794700000000002,-18.608349999999998
3,FmarkTR,18.7635,19.978
4,AsicFmarkTL,-21.056,20.63815
5,AsicFmarkBL,-20.9858,-19.44735
6,AsicFmarkBR,21.0262,-19.372700000000002
7,AsicFmarkTR,20.9482,20.7298
0,FmarkTL,-18.8443,19.972150000000003
1,FmarkBL,-18.8365,-18.6415
2,FmarkBR,18.744000000000003,-18.62785
3,FmarkTR,18.744000000000003,19.972150000000003
4,AsicFmarkTL,-21.03065,20.722
5,AsicFmarkBL,-21.017000000000003,-19.3635
6,AsicFmarkBR,20.9872,-19.32785
7,AsicFmarkTR,20.9677,20.75515
0,FmarkTL,-18.8443,19.9663
1,FmarkBL,-18.8248,-18.58885
2,FmarkBR,18.749850000000002,-18.5752
3,FmarkTR,18.724500000000003,19.997500000000002
4,AsicFmarkTL,-21.044300000000003,20.644000000000002
5,AsicFmarkBL,-20.991650000000003,-19.42785
6,AsicFmarkBR,21.00085,-19.386350000000004
7,AsicFmarkTR,20.9677,20.7103
0,FmarkTL,-18.855999999999998,19.9585
1,FmarkBL,-18.83065,-18.5947
2,FmarkBR,18.744000000000003,-18.5752
3,FmarkTR,18.724500000000003,19.9858
4,AsicFmarkTL,-21.050150000000002,20.6518
5,AsicFmarkBL,-20.997500000000002,-19.42785
6,AsicFmarkBR,21.006700000000002,-19.372700000000002
7,AsicFmarkTR,20.956,20.7103
